,ku_hh,ku_vv,ku_hv,ku_vh,ku_range
187,4.64998457491302e-08,3.711653351105285e-08,1.1989419471157567e-09,1.1989419471157567e-09,-0.9433032226562501
188,5.460011251370801e-08,3.961260678444032e-08,4.0218255731958676e-09,4.0218255731958676e-09,-0.9356738281250001
189,6.262964910214329e-08,4.4749345829907556e-08,8.015724867828912e-09,8.015724867828912e-09,-0.9280444335937501
190,6.751302449988811e-08,4.5389416095510116e-08,1.0949870212382406e-08,1.0949870212382406e-08,-0.9204150390625001
191,6.724953762473288e-08,3.755964022546824e-08,1.1291856501343222e-08,1.1291856501343222e-08,-0.9127856445312501
192,6.258445639711099e-08,2.467234342085088e-08,9.218170603916154e-09,9.218170603916154e-09,-0.9051562500000001
193,5.655456304697631e-08,1.3106359705595338e-08,5.921913531859873e-09,5.921913531859873e-09,-0.8975268554687501
194,5.237277203518795e-08,6.1989589736806944e-09,2.6277020868037877e-09,2.6277020868037877e-09,-0.8898974609375001
195,5.146999615056347e-08,3.588326844177249e-09,4.709671607605033e-10,4.709671607605033e-10,-0.8822680664062501
196,5.2987704838379595e-08,3.835848688015912e-09,4.379079614527541e-10,4.379079614527541e-10,-0.8746386718750001
197,5.464364071595785e-08,5.4044745489343364e-09,2.496039624890167e-09,2.496039624890167e-09,-0.8670092773437501
198,5.41472264534978e-08,6.318627861309004e-09,4.984642490513033e-09,4.984642490513033e-09,-0.8593798828125001
199,5.038218569618178e-08,5.2293961280035236e-09,5.729718447199974e-09,5.729718447199974e-09,-0.8517504882812501
200,4.3795283941921314e-08,2.9538091865164993e-09,4.09515578680291e-09,4.09515578680291e-09,-0.8441210937500001
201,3.583164951630909e-08,1.7505974600071719e-09,1.5917453434814602e-09,1.5917453434814602e-09,-0.8364916992187501
202,2.7989732194226652e-08,2.9354929444483408e-09,2.6411525630914616e-10,2.6411525630914616e-10,-0.8288623046875001
203,2.1332073227815542e-08,5.870531577510222e-09,7.610602892802909e-10,7.610602892802909e-10,-0.8212329101562501
204,1.652113740810776e-08,9.118531050095055e-09,2.1883076567482337e-09,2.1883076567482337e-09,-0.8136035156250001
205,1.382710512439489e-08,1.1731610744403157e-08,3.487177826153459e-09,3.487177826153459e-09,-0.8059741210937501
206,1.3071600241814818e-08,1.3307437192088833e-08,4.420878360305785e-09,4.420878360305785e-09,-0.7983447265625001
207,1.3843812382264822e-08,1.3681201678565105e-08,5.223626699783345e-09,5.223626699783345e-09,-0.7907153320312501
208,1.560956913588312e-08,1.3272786951116522e-08,5.834568967696853e-09,5.834568967696853e-09,-0.7830859375000001
209,1.732027322317665e-08,1.3423823925295382e-08,5.840820158136916e-09,5.840820158136916e-09,-0.7754565429687501
210,1.7545493775644254e-08,1.5560465499460797e-08,5.002406988798975e-09,5.002406988798975e-09,-0.7678271484375001
211,1.6007540357483174e-08,1.9673787741817016e-08,3.589268338838915e-09,3.589268338838915e-09,-0.7601977539062501
212,1.4685678377473357e-08,2.3954778386406382e-08,2.2746286353660157e-09,2.2746286353660157e-09,-0.7525683593750001
213,1.6030436642696958e-08,2.6268845325660847e-08,1.7865985578032178e-09,1.7865985578032178e-09,-0.7449389648437501
214,1.9760877402295666e-08,2.595136222728979e-08,2.458407992428307e-09,2.458407992428307e-09,-0.7373095703125001
215,2.2517860121854314e-08,2.412580189317374e-08,3.911603008141358e-09,3.911603008141358e-09,-0.7296801757812501
216,2.123162433640514e-08,2.2509791194972966e-08,5.2929640204857374e-09,5.2929640204857374e-09,-0.7220507812500001
217,1.61297526578123e-08,2.1983369419231242e-08,6.0125080463397714e-09,6.0125080463397714e-09,-0.7144213867187501
218,1.0075271092026369e-08,2.1942875581343206e-08,6.208653103231496e-09,6.208653103231496e-09,-0.7067919921875001
219,5.732520372278282e-09,2.0795259141053887e-08,6.4243826335786745e-09,6.4243826335786745e-09,-0.6991625976562501
220,3.94154161957309e-09,1.74310347585575e-08,7.0034851279385156e-09,7.0034851279385156e-09,-0.6915332031250001
