,ka_hh,ka_vv,ka_hv,ka_range,ka_vh
170,2.3824930157433707e-08,1.9569072311659947e-08,2.2929452364167752e-08,-1.0730029296875,2.2929452364167752e-08
171,2.922311656439605e-08,2.1395968697459087e-08,2.453094250222726e-08,-1.06537353515625,2.453094250222726e-08
172,3.326017482281743e-08,2.484813198000841e-08,2.5392497502775404e-08,-1.057744140625,2.5392497502775404e-08
173,3.5710981176058655e-08,3.1245360298365465e-08,2.6963001766149587e-08,-1.05011474609375,2.6963001766149587e-08
174,3.659981883364416e-08,3.925151905597757e-08,2.9704993524386446e-08,-1.0424853515625,2.9704993524386446e-08
175,3.536956539607825e-08,4.604566958515135e-08,3.2799700100102995e-08,-1.03485595703125,3.2799700100102995e-08
176,3.1271701890759274e-08,4.853484132266122e-08,3.392909709371874e-08,-1.0272265625,3.392909709371874e-08
177,2.4612093402618985e-08,4.5240465392780466e-08,3.0775064308723945e-08,-1.01959716796875,3.0775064308723945e-08
178,1.7025003996652668e-08,3.808089148997243e-08,2.3479980518663237e-08,-1.0119677734375,2.3479980518663237e-08
179,1.03656376462766e-08,3.130538699301347e-08,1.4953619505183434e-08,-1.00433837890625,1.4953619505183434e-08
180,5.611397565982145e-09,2.7736785735781876e-08,8.393223513211081e-09,-0.9967089843750001,8.393223513211081e-09
181,2.871672960208408e-09,2.657008540096279e-08,4.955245682984098e-09,-0.9890795898437501,4.955245682984098e-09
182,2.065624735908522e-09,2.5211621695786194e-08,3.793918560182205e-09,-0.9814501953125001,3.793918560182205e-09
183,3.1362461769210106e-09,2.2206038504564705e-08,3.467729836638656e-09,-0.9738208007812501,3.467729836638656e-09
184,5.524909492389086e-09,1.7519898377811954e-08,2.9116247825477114e-09,-0.9661914062500001,2.9116247825477114e-09
185,7.826302299381026e-09,1.1257897550814146e-08,1.8214079650611017e-09,-0.9585620117187501,1.8214079650611017e-09
186,8.503661638934975e-09,4.3020202473926614e-09,9.261188956030567e-10,-0.9509326171875001,9.261188956030567e-10
187,7.358535144421955e-09,2.881428469604724e-10,1.6478415150870922e-09,-0.9433032226562501,1.6478415150870922e-09
188,6.484453679888575e-09,4.373620878917436e-09,4.713770137823647e-09,-0.9356738281250001,4.713770137823647e-09
189,9.366649324134382e-09,1.7784353455927705e-08,8.980902180441713e-09,-0.9280444335937501,8.980902180441713e-09
190,1.7849607990223266e-08,3.418556891769632e-08,1.2134177357269764e-08,-0.9204150390625001,1.2134177357269764e-08
191,2.913948552265245e-08,4.367378647446497e-08,1.266098465662451e-08,-0.9127856445312501,1.266098465662451e-08
192,3.665614467784326e-08,4.117289911008277e-08,1.0769329604561497e-08,-0.9051562500000001,1.0769329604561497e-08
193,3.5490009616913784e-08,3.004144805429118e-08,7.525846290120624e-09,-0.8975268554687501,7.525846290120624e-09
194,2.7164455043653233e-08,1.747150079763949e-08,3.9418376498391284e-09,-0.8898974609375001,3.9418376498391284e-09
195,1.7861472860486592e-08,8.076221396015122e-09,1.1399836916334542e-09,-0.8822680664062501,1.1399836916334542e-09
196,1.2057927289145155e-08,2.6087030975011337e-09,3.9726352769314014e-10,-0.8746386718750001,3.9726352769314014e-10
197,9.522505716418253e-09,5.760172400359689e-10,2.0204626142957227e-09,-0.8670092773437501,2.0204626142957227e-09
198,8.692904311753981e-09,1.3147224243974402e-09,4.454809793702127e-09,-0.8593798828125001,4.454809793702127e-09
199,1.048324834022226e-08,2.9065740132143003e-09,5.415227781509459e-09,-0.8517504882812501,5.415227781509459e-09
200,1.6750312272772652e-08,2.862581460024395e-09,4.122508761201769e-09,-0.8441210937500001,4.122508761201769e-09
201,2.6142152991833023e-08,1.1849503082006407e-09,1.9909082094232613e-09,-0.8364916992187501,1.9909082094232613e-09
202,3.381759294496442e-08,1.2923411485627264e-09,1.0063457814409478e-09,-0.8288623046875001,1.0063457814409478e-09
203,3.566775117194206e-08,6.4555774282048564e-09,1.8389798030816578e-09,-0.8212329101562501,1.8389798030816578e-09
204,3.1633203815481345e-08,1.5966616113912958e-08,3.697566064026408e-09,-0.8136035156250001,3.697566064026408e-09
205,2.4652877585822998e-08,2.607137816929959e-08,5.534733137826886e-09,-0.8059741210937501,5.534733137826886e-09
206,1.751820515044729e-08,3.42298126059094e-08,6.8678705311888e-09,-0.7983447265625001,6.8678705311888e-09
207,1.1368666474519901e-08,4.083175927656783e-08,7.568679197094323e-09,-0.7907153320312501,7.568679197094323e-09
208,6.380566497240948e-09,4.630157585152769e-08,7.46258928737322e-09,-0.7830859375000001,7.46258928737322e-09
209,2.7403991253366368e-09,4.812979717335425e-08,6.441783836888064e-09,-0.7754565429687501,6.441783836888064e-09
